timestamp,node_id,epoch,step,loss,perplexity,samples,tokens
2026-08-28 05:08:06,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,2,15,2.5938,13.3805,960,1966080
2026-08-28 05:11:46,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,1,3.0469,21.0500,992,2031616
2026-08-28 05:12:41,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,2,2.7812,16.1384,1024,2097152
2026-08-28 05:13:37,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,3,2.7344,15.4005,1056,2162688
2026-08-28 05:14:33,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,4,3.0625,21.3809,1088,2228224
2026-08-28 05:15:28,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,5,2.2812,9.7884,1120,2293760
2026-08-28 05:16:24,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,6,2.5156,12.3740,1152,2359296
2026-08-28 05:17:20,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,7,2.3906,10.9200,1184,2424832
2026-08-28 05:18:15,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,8,2.9062,18.2872,1216,2490368
2026-08-28 05:18:23,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,1,3.0938,22.0607,992,2031616
2026-08-28 05:19:11,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,9,2.6406,14.0216,1248,2555904
2026-08-28 05:19:19,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,2,2.8125,16.6515,1024,2097152
2026-08-28 05:20:06,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,10,2.1250,8.3729,1280,2621440
2026-08-28 05:20:14,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,3,2.7812,16.1384,1056,2162688
2026-08-28 05:21:03,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,11,3.2031,24.6087,1312,2686976
2026-08-28 05:21:09,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,4,3.1250,22.7599,1088,2228224
2026-08-28 05:21:59,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,12,2.5938,13.3805,1344,2752512
2026-08-28 05:22:05,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,5,2.3281,10.2584,1120,2293760
2026-08-28 05:22:54,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,13,2.6406,14.0216,1376,2818048
2026-08-28 05:23:01,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,6,2.5938,13.3805,1152,2359296
2026-08-28 05:23:50,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,14,2.3125,10.0996,1408,2883584
2026-08-28 05:23:56,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,7,2.5000,12.1825,1184,2424832
2026-08-28 05:24:46,slakshna1vk43zgsr8n8aar6e44e3q4qqc7l2sjhgcjr9va,3,15,2.0625,7.8656,1440,2949120
2026-08-28 05:24:52,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,8,3.0156,20.4013,1216,2490368
2026-08-28 05:25:47,slakshna1r2qmhcgzsvfqdf8r8w5wt2y5wkthwu89kayjpd,3,9,2.7031,14.9259,1248,2555904
