timestamp,node_id,epoch,step,loss,perplexity
2026-08-07 17:41:00,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,4,5,2.2648,9.6292
2026-08-07 17:41:00,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,4,5,1.9366,6.9351
2026-08-07 17:41:04,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,4,4,2.1974,9.0016
2026-08-07 17:41:09,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,4,5,2.0476,7.7493
2026-08-07 17:50:42,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,5,1,2.2942,9.9165
2026-08-07 17:50:45,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,5,1,2.0605,7.8499
2026-08-07 17:50:45,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,5,1,2.4040,11.0674
2026-08-07 17:50:46,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,5,2,1.8964,6.6619
2026-08-07 17:50:47,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,5,1,2.0687,7.9145
2026-08-07 17:50:49,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,5,2,2.3782,10.7855
2026-08-07 17:50:49,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,5,2,1.9835,7.2681
2026-08-07 17:50:49,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,5,3,1.8864,6.5956
2026-08-07 17:50:52,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,5,2,2.0737,7.9542
2026-08-07 17:50:52,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,5,3,2.1155,8.2937
2026-08-07 17:50:52,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,5,3,2.0030,7.4113
2026-08-07 17:50:53,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,5,4,2.0268,7.5898
2026-08-07 17:50:56,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,5,4,1.8643,6.4514
2026-08-07 17:50:56,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,5,4,1.9918,7.3287
2026-08-07 17:50:57,slakshna160557swgpltadvyylwpzv6dstg5jcufqyjlqtl,5,5,1.9398,6.9574
2026-08-07 17:50:57,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,5,3,2.3204,10.1797
2026-08-07 17:51:00,slakshna1sr6ux63kqtrrcxqxyx9q3gsexmglxp8vn7twnr,5,5,1.9272,6.8702
2026-08-07 17:51:00,slakshna1duztyhvdzk7y9dzs6d8l7zm5n07qpj639z8v23,5,5,2.2616,9.5984
2026-08-07 17:51:03,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,5,4,2.1902,8.9370
2026-08-07 17:51:08,slakshna1dqljhkngxvd7f00wkngslz8a2acj0tafyef7c6,5,5,2.0395,7.6868
2026-08-09 12:34:39,slakshna1l2czdgvlkxqakjytrd0cx9jwqpt4cjqrcqyckm,1,1,2.4414,11.4891
2026-08-09 12:34:43,slakshna1l2czdgvlkxqakjytrd0cx9jwqpt4cjqrcqyckm,1,2,2.2580,9.5639
2026-08-09 12:34:46,slakshna1l2czdgvlkxqakjytrd0cx9jwqpt4cjqrcqyckm,1,3,2.4349,11.4147
2026-08-09 12:34:50,slakshna1l2czdgvlkxqakjytrd0cx9jwqpt4cjqrcqyckm,1,4,2.4160,11.2010
2026-08-09 12:34:53,slakshna1l2czdgvlkxqakjytrd0cx9jwqpt4cjqrcqyckm,1,5,1.8379,6.2833
2026-08-09 12:53:01,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,1,1,2.2574,9.5582
2026-08-09 12:53:05,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,1,2,2.6065,13.5515
2026-08-09 12:53:09,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,1,3,2.2564,9.5487
2026-08-09 12:53:15,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,1,4,2.3533,10.5202
2026-08-09 12:53:19,slakshna1df3772lttc2djcu4has6t66dkhqhlcp6fl5arv,1,1,2.2697,9.6765
2026-08-09 12:53:22,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,1,5,2.1417,8.5139
2026-08-09 12:53:24,slakshna1df3772lttc2djcu4has6t66dkhqhlcp6fl5arv,1,2,2.5545,12.8649
2026-08-09 13:00:39,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,2,1,2.2556,9.5410
2026-08-09 13:00:46,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,2,2,2.6058,13.5421
2026-08-09 13:00:48,slakshna1df3772lttc2djcu4has6t66dkhqhlcp6fl5arv,2,1,2.2694,9.6736
2026-08-09 13:00:54,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,2,3,2.3290,10.2677
2026-08-09 13:00:56,slakshna1df3772lttc2djcu4has6t66dkhqhlcp6fl5arv,2,2,2.4579,11.6803
2026-08-09 13:01:01,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,2,4,2.2950,9.9244
2026-08-09 13:01:04,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,2,5,2.1286,8.4031
2026-08-09 13:10:40,slakshna1df3772lttc2djcu4has6t66dkhqhlcp6fl5arv,3,1,2.2689,9.6688
2026-08-09 13:10:47,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,3,1,2.2535,9.5210
2026-08-09 13:10:48,slakshna1df3772lttc2djcu4has6t66dkhqhlcp6fl5arv,3,2,2.5537,12.8546
2026-08-09 13:10:54,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,3,2,2.6945,14.7981
2026-08-09 13:10:57,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,3,3,2.3447,10.4301
2026-08-09 13:11:01,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,3,4,2.1668,8.7303
2026-08-09 13:11:05,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,3,5,2.1402,8.5011
2026-08-09 13:25:42,slakshna1df3772lttc2djcu4has6t66dkhqhlcp6fl5arv,4,1,2.2677,9.6572
2026-08-09 13:25:46,slakshna1df3772lttc2djcu4has6t66dkhqhlcp6fl5arv,4,2,2.4580,11.6814
2026-08-09 13:25:47,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,4,1,2.2471,9.4603
2026-08-09 13:25:50,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,4,2,2.5996,13.4584
2026-08-09 13:25:54,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,4,3,2.2484,9.4726
2026-08-09 13:25:58,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,4,4,2.3455,10.4385
2026-08-09 13:26:01,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,4,5,2.1364,8.4689
2026-08-09 13:30:40,slakshna1df3772lttc2djcu4has6t66dkhqhlcp6fl5arv,5,1,2.2197,9.2046
2026-08-09 13:30:43,slakshna1df3772lttc2djcu4has6t66dkhqhlcp6fl5arv,5,2,2.4288,11.3453
2026-08-09 13:30:43,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,5,1,2.2337,9.3343
2026-08-09 13:30:47,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,5,2,2.5893,13.3204
2026-08-09 13:30:51,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,5,3,2.2364,9.3596
2026-08-09 13:30:54,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,5,4,2.3340,10.3191
2026-08-09 13:30:58,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,5,5,2.1309,8.4224
2026-08-09 13:35:39,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,6,1,2.2212,9.2184
2026-08-09 13:35:43,slakshna1df3772lttc2djcu4has6t66dkhqhlcp6fl5arv,6,1,2.2650,9.6311
2026-08-09 13:35:43,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,6,2,2.5794,13.1892
2026-08-09 13:35:46,slakshna1df3772lttc2djcu4has6t66dkhqhlcp6fl5arv,6,2,2.4565,11.6639
2026-08-09 13:35:47,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,6,3,2.2292,9.2924
2026-08-09 13:35:50,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,6,4,2.3275,10.2523
2026-08-09 13:35:54,slakshna1s65pjyjmvkvaamc035alxvwgmx9udtnp3mj9zl,6,5,2.1264,8.3846
